2017-12-01, 1.63144
2018-01-01, 1.22423
2018-02-01, 1.31443
2018-03-01, 1.40979
2018-04-01, 1.43814
2018-05-01, 1.52835
2018-06-01, 1.41753
2018-07-01, 1.31959
2018-08-01, 1.45103
2018-09-01, 1.37887
2018-10-01, 1.47938
2018-11-01, 1.40722
2018-12-01, 1.78351
2019-01-01, 1.25258
2019-02-01, 1.30928
2019-03-01, 1.44588
2019-04-01, 1.53608
2019-05-01, 1.45876
2019-06-01, 1.50258
2019-07-01, 1.43299
2019-08-01, 1.54639
2019-09-01, 1.43299
2019-10-01, 1.51804
2019-11-01, 1.46392
2019-12-01, 2.00000
